Tag Combination,Count
one product or product mix_mapped_clean_One Product,677
one or multiple flavors_mapped_clean_Multiple Flavours,605
textures described_mapped_clean_Crunchy,438
ingredients mentioned in the flavor names_mapped_clean_Cheese,406
types of snack does it describe_mapped_clean_Chips,352
textures described_mapped_clean_Crispy,300
taste profile_mapped_clean_Savory,265
taste profile_mapped_clean_Cheesy,239
taste profile_mapped_clean_Spicy,221
ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices,176
taste profile_mapped_clean_Sweet,162
preparation or cooking method_mapped_clean_Baked,137
types of snack does it describe_mapped_clean_Potato,136
shapes mentioned_mapped_clean_Bites,134
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing",131
taste profile_mapped_clean_Salty,114
types of snack does it describe_mapped_clean_Tortilla,110
ingredients mentioned in the flavor names_mapped_clean_Ranch,106
types of snack does it describe_mapped_clean_Puffs,106
types of snack does it describe_mapped_clean_Corn,104
one or multiple flavors_mapped_clean_One Flavour,100
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go",92
ingredients mentioned in the flavor names_mapped_clean_Salt,85
ingredients mentioned in the flavor names_mapped_clean_Sweet Chili,85
ingredients mentioned in the flavor names_mapped_clean_Jalapeno,85
explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious,84
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat",84
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger",83
ingredients mentioned in the flavor names_mapped_clean_Chocolate,75
types of snack does it describe_mapped_clean_Popped,70
explicitly claimed health or lifestyle benefits_mapped_clean_High Protein,68
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Entertaining guests",67
types of snack does it describe_mapped_clean_Vegetable,65
types of snack does it describe_mapped_clean_Crackers,62
types of snack does it describe_mapped_clean_Popcorn,57
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping",55
explicitly claimed health or lifestyle benefits_mapped_clean_No artificial colouring,51
ingredients mentioned in the flavor names_mapped_clean_Nuts,51
taste profile_mapped_clean_Tangy,50
ingredients mentioned in the flavor names_mapped_clean_Caramel,49
types of snack does it describe_mapped_clean_Chickpea,48
